acl	Aspect=Imp	11
acl	Aspect=Perf	3
acl	Case=Acc	1
acl	Case=Dat	2
acl	Case=Gen	6
acl	Case=Loc	1
acl	Case=Nom	29
acl	Mood=Pot	3
acl	Polarity=Neg	4
acl	Tense=Fut	1
acl	Tense=Past	42
acl	VerbForm=Cov	4
acl	VerbForm=Ger	34
acl	VerbForm=Part	55
acl	Voice=Coop	1
acl	Voice=Pass	15
acl:poss	Case=Nom	1
acl:poss	VerbForm=Ger	1
acl:relcl	Aspect=Imp	14
acl:relcl	Aspect=Perf	5
acl:relcl	Case=Nom	4
acl:relcl	Mood=Pot	3
acl:relcl	Polarity=Neg	4
acl:relcl	Tense=Fut	1
acl:relcl	Tense=Past	53
acl:relcl	VerbForm=Cov	7
acl:relcl	VerbForm=Part	69
acl:relcl	Voice=Coop	2
acl:relcl	Voice=Pass	16
advcl	Aspect=Imp	12
advcl	Aspect=Perf	183
advcl	Case=Abl	13
advcl	Case=Acc	2
advcl	Case=Dat	44
advcl	Case=Ins	6
advcl	Case=Loc	25
advcl	Case=Nom	32
advcl	Mood=Pot	1
advcl	Number=Plur	3
advcl	NumType=Card	3
advcl	NumType=Card,Ord	3
advcl	Polarity=Neg	13
advcl	Polite=Form	2
advcl	PronType=Dem	1
advcl	PronType=Int	2
advcl	Tense=Fut	2
advcl	Tense=Past	46
advcl	VerbForm=Conv	205
advcl	VerbForm=Cov	11
advcl	VerbForm=Ger	97
advcl	VerbForm=Part	3
advcl	Voice=Coop	4
advcl	Voice=Pass	27
advmod	Case=Abl	2
advmod	Case=Loc	2
advmod	Case=Nom	3
advmod	Degree=Cmp	4
advmod	Gender=Masc	1
advmod	NumType=Card	5
advmod	NumType=Card,Ord	5
advmod	PronType=Dem	8
advmod	PronType=Int	18
advmod	PronType=Neg	1
amod	Case=Dat	1
amod	Case=Loc	49
amod	Case=Nom	19
amod	Degree=Cmp	2
amod	Number=Plur	5
amod	NumType=Card	8
amod	NumType=Card,Ord	8
amod	NumType=Ord	125
amod	PronType=Int	2
amod	PronType=Ref	1
appos	Case=Abl	2
appos	Case=Acc	1
appos	Case=Gen	1
appos	Case=Ins	1
appos	Case=Loc	1
appos	Case=Nom	58
appos	Gender=Masc	14
appos	Mood=Ind	1
appos	Number=Plur	9
appos	Number=Sing	1
appos	NumType=Card	12
appos	NumType=Card,Ord	12
appos	NumType=Coll	1
appos	Polite=Form	1
appos	PronType=Qnt	1
appos	PronType=Ref	2
appos	Tense=Past	2
appos	VerbForm=Fin	1
appos	VerbForm=Ger	1
aux	Aspect=Perf	6
aux	Case=Abl	2
aux	Case=Acc	3
aux	Case=Dat	7
aux	Case=Loc	2
aux	Case=Nom	7
aux	Evident=Fh	3
aux	Mood=Cnd	3
aux	Mood=Imp	2
aux	Mood=Ind	171
aux	Mood=Opt	5
aux	Number=Plur	28
aux	Number=Sing	153
aux	Polarity=Neg	21
aux	Polite=Form	6
aux	Tense=Aor	42
aux	Tense=Fut	4
aux	Tense=FutPlan	2
aux	Tense=Past	103
aux	Tense=Pres	48
aux	VerbForm=Conv	8
aux	VerbForm=Cov	8
aux	VerbForm=Fin	178
aux	VerbForm=Ger	21
aux	VerbForm=Part	15
case	Case=Nom	2
cc	Case=Nom	1
ccomp	Aspect=Imp	6
ccomp	Aspect=Perf	6
ccomp	Case=Abl	1
ccomp	Case=Dat	13
ccomp	Case=Ins	1
ccomp	Case=Loc	1
ccomp	Case=Nom	13
ccomp	Evident=Fh	1
ccomp	Mood=Imp	7
ccomp	Mood=Ind	24
ccomp	Mood=Opt	4
ccomp	Mood=Vol	2
ccomp	Number=Plur	6
ccomp	Number=Sing	31
ccomp	Polarity=Neg	3
ccomp	Polite=Form	3
ccomp	PronType=Int	5
ccomp	Tense=Aor	13
ccomp	Tense=Fut	2
ccomp	Tense=Past	21
ccomp	VerbForm=Conv	2
ccomp	VerbForm=Cov	6
ccomp	VerbForm=Fin	37
ccomp	VerbForm=Ger	34
ccomp	VerbForm=Part	1
ccomp	Voice=Coop	1
ccomp	Voice=Pass	5
clf	Case=Nom	3
compound	Case=Loc	1
compound	Case=Nom	71
compound	Number=Plur	1
compound	NumType=Card	37
compound:lvc	Case=Nom	7
conj	Aspect=Imp	6
conj	Aspect=Perf	12
conj	Case=Abl	8
conj	Case=Acc	19
conj	Case=Dat	27
conj	Case=Ins	9
conj	Case=Loc	6
conj	Case=Nom	153
conj	Evident=Fh	3
conj	Gender=Fem	3
conj	Gender=Masc	1
conj	Mood=Cnd	3
conj	Mood=Imp	7
conj	Mood=Ind	39
conj	Mood=Opt	5
conj	Mood=Pot	1
conj	Number=Plur	48
conj	Number=Sing	48
conj	NumType=Card	3
conj	NumType=Card,Ord	1
conj	NumType=Ord	9
conj	Polarity=Neg	8
conj	Polite=Form	2
conj	Tense=Aor	23
conj	Tense=Fut	4
conj	Tense=Past	24
conj	VerbForm=Conv	6
conj	VerbForm=Cov	15
conj	VerbForm=Fin	51
conj	VerbForm=Ger	17
conj	VerbForm=Part	12
conj	Voice=Coop	4
conj	Voice=Pass	13
cop	Aspect=Imp	6
cop	Case=Acc	9
cop	Case=Dat	4
cop	Case=Ins	1
cop	Case=Loc	2
cop	Case=Nom	9
cop	Evident=Fh	12
cop	Mood=Cnd	6
cop	Mood=Ind	89
cop	Mood=Opt	5
cop	Number=Plur	4
cop	Number=Sing	96
cop	Polarity=Neg	16
cop	Tense=Aor	39
cop	Tense=Fut	2
cop	Tense=FutPlan	1
cop	Tense=Past	65
cop	Tense=Pres	1
cop	VerbForm=Conv	26
cop	VerbForm=Cov	15
cop	VerbForm=Fin	94
cop	VerbForm=Ger	25
cop	VerbForm=Part	4
csubj	Aspect=Imp	3
csubj	Aspect=Perf	4
csubj	Case=Loc	1
csubj	Case=Nom	65
csubj	Gender=Masc	1
csubj	Number=Plur	2
csubj	Polarity=Neg	2
csubj	PronType=Int	1
csubj	Tense=Fut	1
csubj	Tense=FutPlan	1
csubj	VerbForm=Conv	2
csubj	VerbForm=Cov	3
csubj	VerbForm=Ger	62
csubj	Voice=Coop	1
csubj	Voice=Pass	8
det	Case=Nom	3
det	PronType=Dem	108
det	PronType=Ind	29
det	PronType=Int	15
det	PronType=Neg	5
det	PronType=Qnt	44
det	PronType=Ref	13
discourse	Mood=Ind	1
discourse	Number=Sing	2
discourse	PronType=Prs	1
discourse	Tense=Aor	1
discourse	VerbForm=Fin	1
flat:name	Case=Gen	9
flat:name	Case=Ins	1
flat:name	Case=Loc	2
flat:name	Case=Nom	58
flat:name	Gender=Fem	4
flat:name	Gender=Masc	31
iobj	Case=Abl	1
iobj	Case=Dat	3
iobj:caus	Case=Acc	1
nmod	Case=Abl	47
nmod	Case=Acc	1
nmod	Case=Dat	95
nmod	Case=Ins	16
nmod	Case=Loc	18
nmod	Case=Nom	15
nmod	Gender=Masc	2
nmod	Number=Plur	14
nmod	Number=Sing	9
nmod	PronType=Dem	8
nmod	PronType=Ind	2
nmod	PronType=Int	9
nmod	PronType=Neg	1
nmod	VerbForm=Ger	1
nmod:poss	Case=Gen	367
nmod:poss	Case=Ins	1
nmod:poss	Case=Loc	1
nmod:poss	Case=Nom	413
nmod:poss	Gender=Fem	3
nmod:poss	Number=Plur	96
nmod:poss	Number=Sing	24
nmod:poss	NumType=Card	1
nmod:poss	NumType=Card,Ord	1
nmod:poss	NumType=Coll	1
nmod:poss	Polite=Form	11
nmod:poss	PronType=Dem	15
nmod:poss	PronType=Ind	2
nmod:poss	PronType=Int	1
nmod:poss	PronType=Prs	48
nmod:poss	PronType=Qnt	1
nmod:poss	PronType=Ref	8
nsubj	Case=Dat	1
nsubj	Case=Gen	36
nsubj	Case=Nom	955
nsubj	Gender=Fem	14
nsubj	Gender=Masc	51
nsubj	Number=Plur	168
nsubj	Number=Sing	65
nsubj	NumType=Card	6
nsubj	NumType=Card,Ord	6
nsubj	NumType=Coll	4
nsubj	NumType=Ord	1
nsubj	Polite=Form	14
nsubj	PronType=Dem	47
nsubj	PronType=Ind	4
nsubj	PronType=Int	15
nsubj	PronType=Neg	8
nsubj	PronType=Qnt	8
nsubj	PronType=Ref	9
nummod	Case=Dat	1
nummod	Case=Nom	3
nummod	NumType=Card	106
nummod	NumType=Card,Ord	1
obj	Case=Acc	303
obj	Case=Dat	15
obj	Case=Nom	183
obj	Gender=Fem	1
obj	Gender=Masc	6
obj	Number=Plur	78
obj	Number=Sing	21
obj	NumType=Card	3
obj	NumType=Card,Ord	3
obj	Polite=Form	7
obj	PronType=Dem	12
obj	PronType=Ind	1
obj	PronType=Int	7
obj	PronType=Neg	3
obj	PronType=Qnt	3
obj	PronType=Ref	2
obj	Tense=Past	1
obj	VerbForm=Ger	1
obl	Case=Abl	93
obl	Case=Acc	1
obl	Case=Dat	224
obl	Case=Gen	1
obl	Case=Ins	62
obl	Case=Loc	223
obl	Case=Nom	88
obl	Gender=Fem	1
obl	Gender=Masc	2
obl	Number=Sing	15
obl	NumType=Card	5
obl	NumType=Card,Ord	5
obl	Polite=Form	8
obl	PronType=Dem	25
obl	PronType=Int	2
obl	PronType=Prs	22
obl	PronType=Rcp	1
obl	PronType=Ref	3
obl	PronType=Tot	1
obl	VerbForm=Ger	2
obl:own	Case=Loc	7
obl:own	Number=Plur	1
obl:own	Number=Sing	4
obl:own	Polite=Form	3
obl:own	PronType=Prs	5
orphan	Aspect=Imp	1
orphan	Case=Acc	2
orphan	Case=Dat	5
orphan	Case=Gen	1
orphan	Case=Loc	2
orphan	Case=Nom	1
orphan	Mood=Cnd	1
orphan	Number=Plur	1
orphan	Number=Sing	1
orphan	NumType=Card	2
orphan	NumType=Card,Ord	2
orphan	VerbForm=Conv	1
orphan	VerbForm=Cov	1
parataxis	Aspect=Imp	6
parataxis	Aspect=Perf	3
parataxis	Case=Ins	1
parataxis	Case=Nom	16
parataxis	Evident=Fh	1
parataxis	Mood=Imp	4
parataxis	Mood=Ind	27
parataxis	Number=Plur	6
parataxis	Number=Sing	28
parataxis	NumType=Card	1
parataxis	NumType=Card,Ord	1
parataxis	NumType=Ord	1
parataxis	Polarity=Neg	8
parataxis	Polite=Form	1
parataxis	PronType=Int	1
parataxis	Tense=Aor	9
parataxis	Tense=Fut	1
parataxis	Tense=Past	17
parataxis	VerbForm=Cov	9
parataxis	VerbForm=Fin	31
parataxis	Voice=Coop	1
parataxis	Voice=Pass	6
root	Aspect=Imp	39
root	Aspect=Perf	98
root	Case=Abl	3
root	Case=Dat	2
root	Case=Gen	1
root	Case=Loc	24
root	Case=Nom	149
root	Evident=Fh	15
root	Gender=Masc	4
root	Mood=Ind	547
root	Mood=Pot	1
root	Mood=Vol	8
root	Number=Plur	92
root	Number=Sing	497
root	NumType=Card	11
root	NumType=Card,Ord	2
root	Polarity=Neg	39
root	Polite=Form	9
root	PronType=Dem	6
root	PronType=Int	24
root	PronType=Neg	1
root	Tense=Aor	223
root	Tense=Fut	6
root	Tense=FutPlan	2
root	Tense=Past	318
root	Tense=Pres	2
root	VerbForm=Conv	1
root	VerbForm=Cov	144
root	VerbForm=Fin	567
root	VerbForm=Ger	6
root	VerbForm=Part	2
root	Voice=Coop	16
root	Voice=Pass	137
vocative	Case=Nom	8
vocative	Gender=Fem	1
vocative	Gender=Masc	3
xcomp	Case=Dat	3
xcomp	Case=Nom	7
xcomp	VerbForm=Ger	4
